[.help5] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 01:59'
[.help6] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 01:59'
[.help5] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 01:59'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 01:59'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:00'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:02'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:05'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:07'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:08'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:09'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:10'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:11'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:13'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:14'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:20'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:26'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:26'
[.refillshop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:26'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:27'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:28'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:31'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:36'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:37'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:40'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:42'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:43'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:43'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:44'
[.setcash1 999999] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:44'
[.getcash 1 9999] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:44'
[.help5] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:44'
[.help5] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:44'
[.setcash 1 9999] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:44'
[.setcash 1 9999999] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:44'
[.setcash 1 999999999] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:44'
[.setcash 1 99999999] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:44'
[.setcash 1 99999999] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:45'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:45'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:45'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:45'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:48'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:49'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:49'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:50'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:51'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:51'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:52'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:53'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:54'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:55'
[.refill2shop] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 02:56'
[.changename] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:08'
[.help5] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:08'
[.help6] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:08'
[.help5] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:08'
[.help4] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:08'
[.help3] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:08'
[.help3] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:08'
[.NSn] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:08'
[.nsn] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:08'
[.changenick] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:08'
[.changename] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:08'
[.help3] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:08'
[.changenick Offset] playerId: 1; Nick: 'Kaway'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:09'
[.changenick Wulles] playerId: 1; Nick: 'Offset'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:09'
[.changenick [ADM]Wulles] playerId: 1; Nick: 'Wulles'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:09'
[.changerank 1 54] playerId: 1; Nick: '[ADM]Wulles'; Login: 'malakaloca'; Ip: '177.36.6.242'; Date: '01/06/20 03:23'
